filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
centralize_nettavisen_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nettavisen,1,23,7,4,positive,Norway,True,centralize,False,03489.png
"centralize_nettavisen_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nettavisen,1,"6,7k",7,432,positive,Norway,True,centralize,False,03612.png
centralize_resett_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,resett,1,23,7,432,positive,Norway,True,centralize,False,03633.png
"centralize_nrk_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nrk,1,"6,7k",987,4,positive,Norway,True,centralize,False,03639.png
"centralize_aftenposten_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,aftenposten,1,"6,7k",7,432,positive,Norway,True,centralize,False,03681.png
"centralize_vg_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,vg,1,"6,7k",987,4,positive,Norway,True,centralize,False,03732.png
centralize_dagbladet_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,dagbladet,1,23,7,432,positive,Norway,True,centralize,False,03761.png
"centralize_nettavisen_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nettavisen,1,"6,7k",7,4,positive,Norway,True,centralize,False,03789.png
"centralize_nettavisen_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nettavisen,1,"6,7k",987,432,positive,Norway,True,centralize,False,03793.png
centralize_resett_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,resett,1,23,7,4,positive,Norway,True,centralize,False,03804.png
"centralize_klassekampen_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,klassekampen,1,"6,7k",7,432,positive,Norway,True,centralize,False,03867.png
centralize_nrk_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nrk,1,23,7,4,positive,Norway,True,centralize,False,03873.png
centralize_klassekampen_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,klassekampen,1,23,7,4,positive,Norway,True,centralize,False,03954.png
centralize_klassekampen_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,klassekampen,1,23,7,432,positive,Norway,True,centralize,False,03981.png
centralize_vg_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,vg,1,23,987,432,positive,Norway,True,centralize,False,03996.png
centralize_nrk_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nrk,1,23,987,432,positive,Norway,True,centralize,False,04013.png
"centralize_aftenposten_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,aftenposten,1,"6,7k",7,4,positive,Norway,True,centralize,False,04133.png
"centralize_nrk_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nrk,1,"6,7k",987,432,positive,Norway,True,centralize,False,04239.png
"centralize_klassekampen_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,klassekampen,1,"6,7k",987,4,positive,Norway,True,centralize,False,04243.png
"centralize_dagbladet_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,dagbladet,1,"6,7k",987,4,positive,Norway,True,centralize,False,04306.png
centralize_dagbladet_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,dagbladet,1,23,987,4,positive,Norway,True,centralize,False,04318.png
"centralize_klassekampen_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,klassekampen,1,"6,7k",7,4,positive,Norway,True,centralize,False,04364.png
centralize_dagbladet_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,dagbladet,1,23,987,432,positive,Norway,True,centralize,False,04435.png
"centralize_vg_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,vg,1,"6,7k",7,4,positive,Norway,True,centralize,False,04470.png
"centralize_resett_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,resett,1,"6,7k",987,432,positive,Norway,True,centralize,False,04487.png
centralize_resett_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,resett,1,23,987,4,positive,Norway,True,centralize,False,04515.png
centralize_nettavisen_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nettavisen,1,23,987,4,positive,Norway,True,centralize,False,04521.png
centralize_aftenposten_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,aftenposten,1,23,7,4,positive,Norway,True,centralize,False,04610.png
"centralize_nrk_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nrk,1,"6,7k",7,4,positive,Norway,True,centralize,False,04765.png
"centralize_resett_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,resett,1,"6,7k",7,4,positive,Norway,True,centralize,False,04800.png
centralize_vg_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,vg,1,23,7,4,positive,Norway,True,centralize,False,04824.png
centralize_aftenposten_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,aftenposten,1,23,987,4,positive,Norway,True,centralize,False,04842.png
"centralize_dagbladet_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,dagbladet,1,"6,7k",987,432,positive,Norway,True,centralize,False,04873.png
"centralize_resett_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,resett,1,"6,7k",987,4,positive,Norway,True,centralize,False,04877.png
centralize_nettavisen_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nettavisen,1,23,987,432,positive,Norway,True,centralize,False,04901.png
"centralize_vg_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,vg,1,"6,7k",7,432,positive,Norway,True,centralize,False,04946.png
centralize_vg_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,vg,1,23,987,4,positive,Norway,True,centralize,False,04986.png
"centralize_aftenposten_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,aftenposten,1,"6,7k",987,432,positive,Norway,True,centralize,False,05146.png
"centralize_vg_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,vg,1,"6,7k",987,432,positive,Norway,True,centralize,False,05171.png
centralize_nrk_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nrk,1,23,7,432,positive,Norway,True,centralize,False,05220.png
centralize_aftenposten_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,aftenposten,1,23,7,432,positive,Norway,True,centralize,False,05277.png
centralize_aftenposten_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,aftenposten,1,23,987,432,positive,Norway,True,centralize,False,05354.png
centralize_klassekampen_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,klassekampen,2,23,987,432,positive,Norway,True,decentralize,True,02746.png
centralize_vg_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,vg,2,23,987,4,positive,Norway,True,decentralize,True,02796.png
centralize_klassekampen_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,klassekampen,2,23,987,4,positive,Norway,True,decentralize,True,02878.png
"centralize_vg_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,vg,2,"6,7k",987,4,positive,Norway,True,decentralize,True,03003.png
centralize_nrk_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nrk,2,23,987,432,positive,Norway,True,decentralize,True,03038.png
"centralize_vg_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,vg,2,"6,7k",987,432,positive,Norway,True,decentralize,True,03108.png
centralize_dagbladet_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,dagbladet,2,23,987,4,positive,Norway,True,decentralize,True,03149.png
"centralize_resett_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,resett,2,"6,7k",7,4,positive,Norway,True,decentralize,True,03358.png
centralize_vg_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,vg,2,23,987,432,positive,Norway,True,decentralize,True,03364.png
centralize_vg_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,vg,2,23,7,4,positive,Norway,True,decentralize,True,03394.png
centralize_resett_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,resett,2,23,987,432,positive,Norway,True,decentralize,True,03406.png
centralize_aftenposten_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,aftenposten,2,23,987,4,positive,Norway,True,decentralize,True,03492.png
"centralize_klassekampen_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,klassekampen,2,"6,7k",7,432,positive,Norway,True,decentralize,True,03524.png
centralize_vg_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,vg,2,23,7,432,positive,Norway,True,decentralize,True,03536.png
"centralize_dagbladet_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,dagbladet,2,"6,7k",7,432,positive,Norway,True,decentralize,True,03646.png
centralize_aftenposten_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,aftenposten,2,23,7,432,positive,Norway,True,decentralize,True,03695.png
centralize_nettavisen_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nettavisen,2,23,987,4,positive,Norway,True,decentralize,True,03912.png
centralize_nettavisen_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nettavisen,2,23,7,432,positive,Norway,True,decentralize,True,04125.png
centralize_nettavisen_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nettavisen,2,23,987,432,positive,Norway,True,decentralize,True,04130.png
centralize_klassekampen_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,klassekampen,2,23,7,4,positive,Norway,True,decentralize,True,04142.png
"centralize_dagbladet_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,dagbladet,2,"6,7k",7,4,positive,Norway,True,decentralize,True,04153.png
centralize_nrk_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nrk,2,23,987,4,positive,Norway,True,decentralize,True,04163.png
"centralize_vg_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,vg,2,"6,7k",7,432,positive,Norway,True,decentralize,True,04170.png
centralize_resett_2_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,resett,2,23,987,4,positive,Norway,True,decentralize,True,04181.png
centralize_dagbladet_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,dagbladet,2,23,7,4,positive,Norway,True,decentralize,True,04202.png
centralize_dagbladet_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,dagbladet,2,23,7,432,positive,Norway,True,decentralize,True,04242.png
"centralize_resett_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,resett,2,"6,7k",987,4,positive,Norway,True,decentralize,True,04290.png
"centralize_nettavisen_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nettavisen,2,"6,7k",7,4,positive,Norway,True,decentralize,True,04300.png
centralize_nrk_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nrk,2,23,7,432,positive,Norway,True,decentralize,True,04312.png
"centralize_vg_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,vg,2,"6,7k",7,4,positive,Norway,True,decentralize,True,04350.png
centralize_dagbladet_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,dagbladet,2,23,987,432,positive,Norway,True,decentralize,True,04383.png
"centralize_aftenposten_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,aftenposten,2,"6,7k",987,432,positive,Norway,True,decentralize,True,04458.png
centralize_nrk_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nrk,2,23,7,4,positive,Norway,True,decentralize,True,04466.png
centralize_nettavisen_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nettavisen,2,23,7,4,positive,Norway,True,decentralize,True,04482.png
centralize_klassekampen_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,klassekampen,2,23,7,432,positive,Norway,True,decentralize,True,04500.png
"centralize_klassekampen_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,klassekampen,2,"6,7k",987,4,positive,Norway,True,decentralize,True,04518.png
"centralize_klassekampen_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,klassekampen,2,"6,7k",987,432,positive,Norway,True,decentralize,True,04621.png
centralize_aftenposten_2_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,aftenposten,2,23,987,432,positive,Norway,True,decentralize,True,04675.png
"centralize_klassekampen_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,klassekampen,2,"6,7k",7,4,positive,Norway,True,decentralize,True,04741.png
"centralize_aftenposten_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,aftenposten,2,"6,7k",7,432,positive,Norway,True,decentralize,True,04759.png
"centralize_aftenposten_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,aftenposten,2,"6,7k",987,4,positive,Norway,True,decentralize,True,04779.png
centralize_aftenposten_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,aftenposten,2,23,7,4,positive,Norway,True,decentralize,True,04832.png
"centralize_aftenposten_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,aftenposten,2,"6,7k",7,4,positive,Norway,True,decentralize,True,04876.png
